,IP,Datetime,2,3,Type,Bytes,Source,Request
21,202.101.98.54,2015-07-22 20:00:00.083631,-,ANS,PTR,1000,147.49.159.27.in-addr.arpa.,147.49.159.27.broad.xm.fj.dynamic.163data.com.cn.
22,194.146.106.106,2015-07-22 20:00:00.096250,AA,AUTH,SOA,172800,111.in-addr.arpa.,ns1.apnic.net.
23,194.146.106.106,2015-07-22 20:00:00.117112,AA,AUTH,SOA,172800,113.in-addr.arpa.,ns1.apnic.net.
24,221.228.255.2,2015-07-22 20:00:00.123109,AA,AUTH,SOA,3600,211.58.in-addr.arpa.,nmc1.ptt.js.cn.211.58.in-addr.arpa.
25,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,A.ROOT-SERVERS.NET.
26,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,B.ROOT-SERVERS.NET.
27,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,C.ROOT-SERVERS.NET.
28,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,D.ROOT-SERVERS.NET.
29,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,E.ROOT-SERVERS.NET.
30,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,F.ROOT-SERVERS.NET.
31,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,G.ROOT-SERVERS.NET.
32,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,H.ROOT-SERVERS.NET.
33,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,I.ROOT-SERVERS.NET.
34,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,J.ROOT-SERVERS.NET.
35,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,K.ROOT-SERVERS.NET.
36,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,L.ROOT-SERVERS.NET.
37,65.24.0.171,2015-07-22 20:00:00.127982,-,AUTH,NS,511882,.,M.ROOT-SERVERS.NET.
38,96.7.50.32,2015-07-22 20:00:00.130104,AA,ANS,PTR,300,148.17.220.23.in-addr.arpa.,a23-220-17-148.deploy.static.akamaitechnologies.com.
39,194.146.106.106,2015-07-22 20:00:00.136728,AA,AUTH,SOA,172800,27.in-addr.arpa.,ns1.apnic.net.
40,218.38.181.90,2015-07-22 20:00:00.159964,-,AUTH,NS,43200,95.138.221.in-addr.arpa.,ins1.hananet.net.
41,218.38.181.90,2015-07-22 20:00:00.159964,-,AUTH,NS,43200,95.138.221.in-addr.arpa.,ins2.hananet.net.
42,204.61.216.50,2015-07-22 20:00:00.161211,-,AUTH,NS,86400,65.179.107.in-addr.arpa.,ns5.globalfrag.com.
43,204.61.216.50,2015-07-22 20:00:00.161211,-,AUTH,NS,86400,65.179.107.in-addr.arpa.,ns4.globalfrag.com.
44,23.228.66.210,2015-07-22 20:00:00.174580,AA,AUTH,SOA,3600,179.107.in-addr.arpa.,ns4.globalfrag.com.
45,218.38.181.90,2015-07-22 20:00:00.193443,-,AUTH,NS,43200,144.2.115.in-addr.arpa.,rev2.kornet.net.
46,218.38.181.90,2015-07-22 20:00:00.193443,-,AUTH,NS,43200,144.2.115.in-addr.arpa.,rev1.kornet.net.
47,211.216.50.170,2015-07-22 20:00:00.210060,AA,AUTH,SOA,43200,44.25.59.in-addr.arpa.,44.25.59.in-addr.arpa.
48,68.238.64.72,2015-07-22 20:00:00.222178,AA,ANS,PTR,86400,148.123.16.108.in-addr.arpa.,static-108-16-123-148.phlapa.fios.verizon.net.
49,68.238.64.72,2015-07-22 20:00:00.222178,AA,AUTH,NS,86400,123.16.108.in-addr.arpa.,ns5.verizon.net.
50,68.238.64.72,2015-07-22 20:00:00.222178,AA,AUTH,NS,86400,123.16.108.in-addr.arpa.,ns6.verizon.net.
51,68.238.64.72,2015-07-22 20:00:00.222178,AA,AUTH,NS,86400,123.16.108.in-addr.arpa.,ns7.verizon.net.
52,68.238.64.72,2015-07-22 20:00:00.222178,AA,AUTH,NS,86400,123.16.108.in-addr.arpa.,ns8.verizon.net.
53,193.108.91.206,2015-07-22 20:00:00.234049,AA,AUTH,SOA,10800,41.129.in-addr.arpa.,asia3.akam.net.
54,193.231.100.3,2015-07-22 20:00:00.240297,AA,ANS,PTR,86400,147.174.82.92.in-addr.arpa.,adsl92-82-174-147.romtelecom.net.
55,202.31.190.1,2015-07-22 20:00:00.246920,-,AUTH,NS,43200,17.23.59.in-addr.arpa.,rev1.kornet.net.
56,202.31.190.1,2015-07-22 20:00:00.246920,-,AUTH,NS,43200,17.23.59.in-addr.arpa.,rev2.kornet.net.
57,195.175.37.37,2015-07-22 20:00:00.251664,AA,ANS,PTR,43200,144.172.110.85.in-addr.arpa.,85.110.172.144.dynamic.ttnet.com.tr.
58,195.175.37.37,2015-07-22 20:00:00.251664,AA,AUTH,NS,43200,110.85.in-addr.arpa.,rdns3.turktelekom.com.tr.
59,195.175.37.37,2015-07-22 20:00:00.251664,AA,AUTH,NS,43200,110.85.in-addr.arpa.,rdns1.turktelekom.com.tr.
60,195.175.37.37,2015-07-22 20:00:00.251664,AA,AUTH,NS,43200,110.85.in-addr.arpa.,rdns2.turktelekom.com.tr.
61,68.87.76.228,2015-07-22 20:00:00.259159,AA,ANS,PTR,7200,148.146.183.50.in-addr.arpa.,c-50-183-146-148.hsd1.co.comcast.net.
62,68.87.76.228,2015-07-22 20:00:00.259159,AA,AUTH,NS,7200,146.183.50.in-addr.arpa.,dns102.comcast.net.
63,68.87.76.228,2015-07-22 20:00:00.259159,AA,AUTH,NS,7200,146.183.50.in-addr.arpa.,dns103.comcast.net.
64,68.87.76.228,2015-07-22 20:00:00.259159,AA,AUTH,NS,7200,146.183.50.in-addr.arpa.,dns104.comcast.net.
65,68.87.76.228,2015-07-22 20:00:00.259159,AA,AUTH,NS,7200,146.183.50.in-addr.arpa.,dns105.comcast.net.
66,68.87.76.228,2015-07-22 20:00:00.259159,AA,AUTH,NS,7200,146.183.50.in-addr.arpa.,dns101.comcast.net.
67,68.87.76.228,2015-07-22 20:00:00.306378,AA,ANS,PTR,7200,148.191.233.71.in-addr.arpa.,c-71-233-191-148.hsd1.ct.comcast.net.
68,68.87.76.228,2015-07-22 20:00:00.306378,AA,AUTH,NS,7200,191.233.71.in-addr.arpa.,dns104.comcast.net.
69,68.87.76.228,2015-07-22 20:00:00.306378,AA,AUTH,NS,7200,191.233.71.in-addr.arpa.,dns105.comcast.net.
70,68.87.76.228,2015-07-22 20:00:00.306378,AA,AUTH,NS,7200,191.233.71.in-addr.arpa.,dns101.comcast.net.
71,68.87.76.228,2015-07-22 20:00:00.306378,AA,AUTH,NS,7200,191.233.71.in-addr.arpa.,dns102.comcast.net.
72,68.87.76.228,2015-07-22 20:00:00.306378,AA,AUTH,NS,7200,191.233.71.in-addr.arpa.,dns103.comcast.net.
73,193.189.224.2,2015-07-22 20:00:00.337739,AA,ANS,PTR,43200,148.75.176.77.in-addr.arpa.,x4db04b94.dyn.telefonica.de.
74,193.189.224.2,2015-07-22 20:00:00.337739,AA,AUTH,NS,43200,176.77.in-addr.arpa.,ns.mediaways.net.
75,193.189.224.2,2015-07-22 20:00:00.337739,AA,AUTH,NS,43200,176.77.in-addr.arpa.,ns-2.mediaways.net.
76,193.189.224.2,2015-07-22 20:00:00.337739,AA,AUTH,NS,43200,176.77.in-addr.arpa.,ns-3.mediaways.net.
77,193.189.224.2,2015-07-22 20:00:00.337739,AA,ADD,A,43200,ns.mediaways.net.,193.189.224.2
78,193.189.224.2,2015-07-22 20:00:00.337739,AA,ADD,A,43200,ns-2.mediaways.net.,193.189.231.2
79,193.189.224.2,2015-07-22 20:00:00.337739,AA,ADD,A,43200,ns-3.mediaways.net.,193.189.231.194
80,221.139.108.196,2015-07-22 20:00:00.339114,AA,AUTH,SOA,86400,95.138.221.in-addr.arpa.,ins1.hananet.net.
81,192.134.0.49,2015-07-22 20:00:00.342365,AA,AUTH,SOA,3600,109.in-addr.arpa.,pri.authdns.ripe.net.
82,221.139.108.196,2015-07-22 20:00:00.374602,AA,AUTH,SOA,86400,95.230.58.in-addr.arpa.,nsm.hananet.net.
83,71.252.0.72,2015-07-22 20:00:00.376589,AA,ANS,PTR,86400,148.214.62.173.in-addr.arpa.,pool-173-62-214-148.phlapa.fios.verizon.net.
84,71.252.0.72,2015-07-22 20:00:00.376589,AA,AUTH,NS,86400,214.62.173.in-addr.arpa.,ns5.verizon.net.
85,71.252.0.72,2015-07-22 20:00:00.376589,AA,AUTH,NS,86400,214.62.173.in-addr.arpa.,ns6.verizon.net.
86,71.252.0.72,2015-07-22 20:00:00.376589,AA,AUTH,NS,86400,214.62.173.in-addr.arpa.,ns7.verizon.net.
87,71.252.0.72,2015-07-22 20:00:00.376589,AA,AUTH,NS,86400,214.62.173.in-addr.arpa.,ns8.verizon.net.
88,68.87.76.228,2015-07-22 20:00:00.389831,AA,ANS,PTR,86400,148.242.125.76.in-addr.arpa.,c-76-125-242-148.hsd1.pa.comcast.net.
89,68.87.76.228,2015-07-22 20:00:00.389831,AA,AUTH,NS,7200,125.76.in-addr.arpa.,dns101.comcast.net.
90,68.87.76.228,2015-07-22 20:00:00.389831,AA,AUTH,NS,7200,125.76.in-addr.arpa.,dns104.comcast.net.
91,68.87.76.228,2015-07-22 20:00:00.389831,AA,AUTH,NS,7200,125.76.in-addr.arpa.,dns105.comcast.net.
92,68.87.76.228,2015-07-22 20:00:00.389831,AA,AUTH,NS,7200,125.76.in-addr.arpa.,dns103.comcast.net.
93,68.87.76.228,2015-07-22 20:00:00.389831,AA,AUTH,NS,7200,125.76.in-addr.arpa.,dns102.comcast.net.
94,192.5.4.1,2015-07-22 20:00:00.396577,-,AUTH,NS,172800,243.0.195.in-addr.arpa.,dns1.as2116.net.
95,192.5.4.1,2015-07-22 20:00:00.396577,-,AUTH,NS,172800,243.0.195.in-addr.arpa.,dns2.as2116.net.
96,211.216.50.180,2015-07-22 20:00:00.397953,AA,AUTH,SOA,43200,17.23.59.in-addr.arpa.,17.23.59.in-addr.arpa.
97,109.0.66.18,2015-07-22 20:00:00.412577,AA,ANS,PTR,43200,148.152.68.91.in-addr.arpa.,148.152.68.91.rev.sfr.net.
98,195.175.37.37,2015-07-22 20:00:00.420562,AA,ANS,PTR,43200,145.72.156.212.in-addr.arpa.,212.156.72.145.static.turktelekom.com.tr.
99,195.175.37.37,2015-07-22 20:00:00.420562,AA,AUTH,NS,43200,156.212.in-addr.arpa.,rdns3.turktelekom.com.tr.
100,195.175.37.37,2015-07-22 20:00:00.420562,AA,AUTH,NS,43200,156.212.in-addr.arpa.,rdns2.turktelekom.com.tr.
101,195.175.37.37,2015-07-22 20:00:00.420562,AA,AUTH,NS,43200,156.212.in-addr.arpa.,rdns1.turktelekom.com.tr.
102,203.119.40.1,2015-07-22 20:00:00.432809,-,AUTH,NS,86400,216.1.211.in-addr.arpa.,dns2.cnci.jp.
103,203.119.40.1,2015-07-22 20:00:00.432809,-,AUTH,NS,86400,216.1.211.in-addr.arpa.,dns3.cnci.jp.
104,203.119.40.1,2015-07-22 20:00:00.432809,-,AUTH,NS,86400,216.1.211.in-addr.arpa.,dns1.cnci.jp.
105,192.134.0.49,2015-07-22 20:00:00.465543,AA,AUTH,SOA,3600,5.in-addr.arpa.,pri.authdns.ripe.net.
106,199.212.0.53,2015-07-22 20:00:00.467541,AA,AUTH,SOA,172800,36.in-addr.arpa.,ns1.apnic.net.
107,61.74.75.1,2015-07-22 20:00:00.480528,-,AUTH,NS,43200,221.203.211.in-addr.arpa.,ins1.hananet.net.
108,61.74.75.1,2015-07-22 20:00:00.480528,-,AUTH,NS,43200,221.203.211.in-addr.arpa.,ins2.hananet.net.
109,197.199.253.253,2015-07-22 20:00:00.484027,"AA,RA",ANS,PTR,86400,148.170.194.197.in-addr.arpa.,host-197.194.170.148.etisalat.com.eg.
110,197.199.253.253,2015-07-22 20:00:00.484027,"AA,RA",AUTH,NS,86400,194.197.in-addr.arpa.,DNS03.etisalat.com.eg.
111,197.199.253.253,2015-07-22 20:00:00.484027,"AA,RA",AUTH,NS,86400,194.197.in-addr.arpa.,DNS04.etisalat.com.eg.
112,197.199.253.253,2015-07-22 20:00:00.484027,"AA,RA",ADD,A,2055,DNS03.etisalat.com.eg.,197.199.253.243
113,197.199.253.253,2015-07-22 20:00:00.484027,"AA,RA",ADD,A,1857,DNS04.etisalat.com.eg.,197.199.253.253
114,207.164.234.36,2015-07-22 20:00:00.521131,AA,ANS,PTR,86400,149.51.55.70.in-addr.arpa.,TOROON0240W-LP130-06-1178022805.dsl.bell.ca.
115,219.148.204.118,2015-07-22 20:00:00.537122,AA,AUTH,SOA,3600,203.182.in-addr.arpa.,ns1.lntele.com.cn.
116,199.212.0.53,2015-07-22 20:00:00.542743,-,AUTH,NS,86400,21.117.in-addr.arpa.,ns.jxncptt.net.cn.
117,199.212.0.53,2015-07-22 20:00:00.542743,-,AUTH,NS,86400,21.117.in-addr.arpa.,ns.jxjjptt.net.cn.
118,61.74.75.1,2015-07-22 20:00:00.560486,-,AUTH,NS,43200,49.237.58.in-addr.arpa.,ins2.hananet.net.
119,61.74.75.1,2015-07-22 20:00:00.560486,-,AUTH,NS,43200,49.237.58.in-addr.arpa.,ins1.hananet.net.
120,210.158.149.192,2015-07-22 20:00:00.567865,AA,ANS,PTR,900,148.216.1.211.in-addr.arpa.,global216-148.aitai.ne.jp.
121,210.158.149.192,2015-07-22 20:00:00.567865,AA,AUTH,NS,900,216.1.211.in-addr.arpa.,dns1.cnci.jp.
122,210.158.149.192,2015-07-22 20:00:00.567865,AA,AUTH,NS,900,216.1.211.in-addr.arpa.,dns2.cnci.jp.
123,210.158.149.192,2015-07-22 20:00:00.567865,AA,AUTH,NS,900,216.1.211.in-addr.arpa.,dns3.cnci.jp.
124,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,A,300,dns1.cnci.jp.,210.158.149.191
125,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,AAAA,300,dns1.cnci.jp.,2405:7000:10:3::63
126,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,A,300,dns2.cnci.jp.,210.158.149.192
127,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,AAAA,300,dns2.cnci.jp.,2405:7000:10:3::64
128,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,A,300,dns3.cnci.jp.,210.158.150.189
129,210.158.149.192,2015-07-22 20:00:00.567865,AA,ADD,AAAA,300,dns3.cnci.jp.,2405:7000:11:3::61
130,192.5.4.1,2015-07-22 20:00:00.569858,AA,AUTH,SOA,3600,95.in-addr.arpa.,pri.authdns.ripe.net.
131,193.75.75.4,2015-07-22 20:00:00.591226,AA,ANS,PTR,7200,148.243.0.195.in-addr.arpa.,te2-0-1.ar1.stu24.as2116.net.
132,193.75.75.4,2015-07-22 20:00:00.591226,AA,AUTH,NS,7200,243.0.195.in-addr.arpa.,dns1.as2116.net.
133,193.75.75.4,2015-07-22 20:00:00.591226,AA,AUTH,NS,7200,243.0.195.in-addr.arpa.,dns3.as2116.net.
134,193.75.75.4,2015-07-22 20:00:00.591226,AA,AUTH,NS,7200,243.0.195.in-addr.arpa.,dns2.as2116.net.
135,202.96.104.18,2015-07-22 20:00:00.604589,AA,AUTH,SOA,3600,239.115.in-addr.arpa.,ns.zjnbptt.net.cn.
136,61.74.75.1,2015-07-22 20:00:00.630330,AA,AUTH,SOA,43200,182.180.in-addr.arpa.,g.dns.kr.
137,194.146.106.106,2015-07-22 20:00:00.642937,AA,AUTH,SOA,172800,119.in-addr.arpa.,ns1.apnic.net.
138,210.180.98.86,2015-07-22 20:00:00.645434,AA,AUTH,SOA,86400,221.203.211.in-addr.arpa.,ins1.hananet.net.
139,194.146.106.106,2015-07-22 20:00:00.664548,AA,AUTH,SOA,172800,223.in-addr.arpa.,ns1.apnic.net.
140,203.248.246.220,2015-07-22 20:00:00.667049,-,AUTH,NS,43200,177.139.221.in-addr.arpa.,ins1.hananet.net.
141,203.248.246.220,2015-07-22 20:00:00.667049,-,AUTH,NS,43200,177.139.221.in-addr.arpa.,ins2.hananet.net.
142,203.119.27.3,2015-07-22 20:00:00.670795,AA,AUTH,SOA,86400,206.60.in-addr.arpa.,a.in-addr.cn.
143,151.164.1.1,2015-07-22 20:00:00.675167,AA,ANS,PTR,7200,150.46.92.99.in-addr.arpa.,adsl-99-92-46-150.dsl.rcsntx.sbcglobal.net.
144,151.164.1.1,2015-07-22 20:00:00.675167,AA,AUTH,NS,172800,46.92.99.in-addr.arpa.,ns2.swbell.net.
145,151.164.1.1,2015-07-22 20:00:00.675167,AA,AUTH,NS,172800,46.92.99.in-addr.arpa.,ns3.sbcglobal.net.
146,151.164.1.1,2015-07-22 20:00:00.675167,AA,AUTH,NS,172800,46.92.99.in-addr.arpa.,ns1.swbell.net.
147,151.164.1.1,2015-07-22 20:00:00.675167,AA,ADD,A,172800,ns1.swbell.net.,151.164.1.1
148,151.164.1.1,2015-07-22 20:00:00.675167,AA,ADD,A,172800,ns2.swbell.net.,151.164.11.218
149,151.164.1.1,2015-07-22 20:00:00.675167,AA,ADD,A,172800,ns3.sbcglobal.net.,65.68.49.6
150,202.96.104.18,2015-07-22 20:00:00.680539,AA,AUTH,SOA,1800,118.125.in-addr.arpa.,ns.zjnbptt.net.cn.
151,203.248.246.220,2015-07-22 20:00:00.692284,AA,AUTH,SOA,43200,87.14.in-addr.arpa.,g.dns.kr.
152,202.101.226.68,2015-07-22 20:00:00.716149,RA,AUTH,NS,84519,21.117.in-addr.arpa.,ns.jxjjptt.net.cn.
153,202.101.226.68,2015-07-22 20:00:00.716149,RA,AUTH,NS,84519,21.117.in-addr.arpa.,ns.jxncptt.net.cn.
154,194.146.106.106,2015-07-22 20:00:00.718772,AA,AUTH,SOA,172800,117.in-addr.arpa.,ns1.apnic.net.
155,210.180.98.86,2015-07-22 20:00:00.725145,AA,AUTH,SOA,86400,49.237.58.in-addr.arpa.,nsm.hananet.net.
156,66.199.247.130,2015-07-22 20:00:00.735010,AA,ANS,PTR,3600,150.72.232.157.in-addr.arpa.,spyglass50.trademarkmaking.com.
157,209.112.113.33,2015-07-22 20:00:00.735514,AA,AUTH,SOA,86400,81.208.66.in-addr.arpa.,a1.verisigndns.com.
158,203.248.246.220,2015-07-22 20:00:00.751998,AA,AUTH,SOA,43200,142.120.in-addr.arpa.,g.dns.kr.
159,193.0.9.6,2015-07-22 20:00:00.759993,AA,ANS,PTR,172800,150.24.81.2.in-addr.arpa.,bl20-24-150.dsl.telepac.pt.
160,193.0.9.6,2015-07-22 20:00:00.759993,AA,AUTH,NS,3600,81.2.in-addr.arpa.,ns.ripe.net.
161,193.0.9.6,2015-07-22 20:00:00.759993,AA,AUTH,NS,3600,81.2.in-addr.arpa.,ns.telepac.pt.
162,193.0.9.6,2015-07-22 20:00:00.759993,AA,AUTH,NS,3600,81.2.in-addr.arpa.,ns2.telepac.pt.
163,190.102.206.187,2015-07-22 20:00:00.807850,AA,AUTH,SOA,3600,255.177.in-addr.arpa.,dns_master1_bog3.tigo.com.co.
164,210.180.98.86,2015-07-22 20:00:00.832083,AA,AUTH,SOA,86400,177.139.221.in-addr.arpa.,ins1.hananet.net.
165,199.212.0.53,2015-07-22 20:00:00.871695,AA,AUTH,SOA,172800,112.in-addr.arpa.,ns1.apnic.net.
166,80.69.100.12,2015-07-22 20:00:00.881800,AA,ANS,PTR,172800,150.80.147.5.in-addr.arpa.,ip-5-147-80-150.unitymediagroup.de.
167,68.87.76.228,2015-07-22 20:00:00.889419,AA,ANS,PTR,86400,150.158.237.71.in-addr.arpa.,c-71-237-158-150.hsd1.or.comcast.net.
168,68.87.76.228,2015-07-22 20:00:00.889419,AA,AUTH,NS,7200,237.71.in-addr.arpa.,dns102.comcast.net.
169,68.87.76.228,2015-07-22 20:00:00.889419,AA,AUTH,NS,7200,237.71.in-addr.arpa.,dns101.comcast.net.
170,68.87.76.228,2015-07-22 20:00:00.889419,AA,AUTH,NS,7200,237.71.in-addr.arpa.,dns104.comcast.net.
171,68.87.76.228,2015-07-22 20:00:00.889419,AA,AUTH,NS,7200,237.71.in-addr.arpa.,dns105.comcast.net.
172,68.87.76.228,2015-07-22 20:00:00.889419,AA,AUTH,NS,7200,237.71.in-addr.arpa.,dns103.comcast.net.
173,203.83.159.1,2015-07-22 20:00:00.898674,AA,AUTH,SOA,43200,208.182.in-addr.arpa.,g.dns.kr.
174,190.102.206.187,2015-07-22 20:00:00.919027,AA,AUTH,SOA,3600,71.181.in-addr.arpa.,dns_master1_bog3.tigo.com.co.
175,199.212.0.53,2015-07-22 20:00:00.922400,AA,AUTH,SOA,172800,110.in-addr.arpa.,ns1.apnic.net.
176,203.83.159.1,2015-07-22 20:00:00.933653,AA,AUTH,SOA,43200,32.122.in-addr.arpa.,g.dns.kr.
177,202.103.0.68,2015-07-22 20:00:00.970254,AA,AUTH,SOA,86400,50.58.in-addr.arpa.,ns.hbwhptt.net.cn.
178,203.83.159.1,2015-07-22 20:00:00.971130,AA,AUTH,SOA,43200,227.182.in-addr.arpa.,g.dns.kr.
179,134.215.200.120,2015-07-22 20:00:00.995239,AA,ANS,PTR,43200,150.166.131.69.in-addr.arpa.,h69-131-166-150.prsstn.dedicated.static.tds.net.
180,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,ns.tds.net.
181,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,a.dns.tds.net.
182,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,b.dns.tds.net.
183,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,d.dns.tds.net.
184,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,f.dns.tds.net.
185,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,c.dns.tds.net.
186,134.215.200.120,2015-07-22 20:00:00.995239,AA,AUTH,NS,43200,166.131.69.in-addr.arpa.,e.dns.tds.net.
187,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,a.dns.tds.net.,216.165.129.164
188,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,b.dns.tds.net.,64.50.232.116
189,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,c.dns.tds.net.,64.50.230.116
190,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,d.dns.tds.net.,204.246.0.9
191,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,e.dns.tds.net.,134.215.200.120
192,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,43200,f.dns.tds.net.,66.173.0.4
193,134.215.200.120,2015-07-22 20:00:00.995239,AA,ADD,A,3600,ns.tds.net.,204.246.0.9
194,68.94.156.132,2015-07-22 20:00:01.012104,AA,AUTH,SOA,86400,249.12.in-addr.arpa.,xbru.br.ns.els-gms.att.net.
195,194.146.106.106,2015-07-22 20:00:01.016851,AA,AUTH,SOA,172800,113.in-addr.arpa.,ns1.apnic.net.
196,200.220.227.100,2015-07-22 20:00:01.029339,AA,ANS,PTR,86400,150.146.206.191.in-addr.arpa.,191-206-146-150.user.vivozap.com.br.
197,200.220.227.100,2015-07-22 20:00:01.029339,AA,AUTH,NS,86400,146.206.191.in-addr.arpa.,comprido.vivo.com.br.
198,200.220.227.100,2015-07-22 20:00:01.029339,AA,AUTH,NS,86400,146.206.191.in-addr.arpa.,guandu.vivo.com.br.
199,200.220.227.100,2015-07-22 20:00:01.029339,AA,AUTH,NS,86400,146.206.191.in-addr.arpa.,pinheiros2.vivo.com.br.
200,200.220.227.100,2015-07-22 20:00:01.029339,AA,AUTH,NS,86400,146.206.191.in-addr.arpa.,tiete2.vivo.com.br.
201,200.220.227.100,2015-07-22 20:00:01.029339,AA,ADD,A,3600,guandu.vivo.com.br.,200.220.227.100
202,200.220.227.100,2015-07-22 20:00:01.029339,AA,ADD,A,3600,tiete2.vivo.com.br.,200.142.130.9
203,200.220.227.100,2015-07-22 20:00:01.029339,AA,ADD,A,3600,comprido.vivo.com.br.,200.220.227.101
204,200.220.227.100,2015-07-22 20:00:01.029339,AA,ADD,A,3600,pinheiros2.vivo.com.br.,200.142.130.10
205,193.108.91.127,2015-07-22 20:00:01.046829,AA,ANS,PTR,86400,150.228.6.96.in-addr.arpa.,a96-6-228-150.deploy.akamaitechnologies.com.
206,200.51.254.249,2015-07-22 20:00:01.076195,"AA,RA",ANS,PTR,86400,150.156.179.190.in-addr.arpa.,190-179-156-150.speedy.com.ar.
